id,NGR,Longitude/Latitude,Site Height,In-Use Ae Ht,In-Use ERP Total,Dir Max ERP,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,Lat,Long
745395,NJ94270253,002W05 46 57N06 49,87,41,"1.199,999",355,0.2,0.5,1,1.6,2.3,3.3,4.8,6.6,8.6,10.9,12.8,15.7,19,24.4,25.9,25.9,25.9,25.9,25.9,25.7,23.8,22.2,18.6,15.8,14.1,11.8,9.4,7.4,5.4,3.8,2.4,1.3,0.6,0.2,0,0,57.113656,-2.096244
745402,SO24411270,003W05 52 51N48 28,433,47,"0.488,619",65,0.5,1.7,2.9,2.5,1.3,0.4,0,0,0.5,1.2,2.3,2.9,1.6,0.6,0.7,1.9,2.9,2.8,2.7,3.2,4.6,7.2,10.8,12.2,11.5,11.5,12,11.2,7.9,5,3.1,2.7,2.9,2.9,1.8,0.7,51.807795,-3.097781
745418,SP820141,000W48 42 51N49 10,81,29,"0.600,000",,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,51.819509,-0.811742
745451,SO03042994,003W24 45 51N57 34,248,18,"0.500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.959448,-3.412497
745498,NN11277352,005W05 37 56N48 53,283,58,"1.000,000",330,1.2,0.9,0.6,0.3,0.6,3.7,7.2,7.7,9.5,11.7,12.6,15.3,18.6,17.1,15.6,13,13.5,12.5,9.8,8,7.1,3.1,1.3,1,0.7,1.2,1.5,0.7,0,0.2,0.6,0.8,0.9,0.5,0.4,0.7,56.814742,-5.093559
745539,NZ21676488,001W39 47 54N58 41,120,36,"1.995,262",180,28.2,30.5,23.7,16.6,12.8,10.2,8.1,5.9,4.3,3.7,3.1,1.7,0.8,0.6,0.6,0.5,0.4,0.4,0.4,0.3,0.2,0,0.1,0.4,0.9,1.5,2.3,3,3.3,4.2,6,8.5,11.9,15.6,19.2,25.7,54.978039,-1.662966
745600,SO80847395,002W16 58 52N21 48,82,33,"0.092,000",300,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,52.363252,-2.282794
745623,TL236330,000W12 06 51N58 54,82,25,"0.600,000",240,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,51.981709,-0.201702
745651,SK58344246,001W07 57 52N58 35,122,46,"1.000,000",,1,2,2,0.7,0,0.7,2.2,2.4,1,1,2,2,0.8,0,0.9,2.7,2.2,1,1,2,2,0.6,0,1,2.4,2.3,1,1,2,2,0.7,0,1,2.5,2.3,1,52.976309,-1.132626
745662,SO52621277,002W41 19 51N48 42,194,22,"0.230,000",270,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,51.811533,-2.688667
745676,NZ03586532,001W56 44 54N58 57,165,45,"1.000,000",220,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,54.982447,-1.945593
745713,SN84110611,003W40 48 51N44 30,409,38,"0.600,000",84,8.3,8.2,6.1,3.6,1.9,1,0.8,0.5,0.4,0.3,0.4,0.5,1.2,3.3,7.8,4.7,1.7,2.5,6,5.2,2.5,1.1,0.4,0,0.1,0.3,0.7,1.1,1.6,2.6,4.2,7,11.3,10.6,8.5,8.1,51.741661,-3.679878
745718,NY97402200,002W02 30 54N35 35,352,32,"1.000,000",40,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1,0.7,0.3,0,0,54.593159,-2.041753
745764,TL91233764,000E47 05 52N00 15,71,88,"2.399,999",230,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,52.004239,0.784592
745835,SZ03729218,001W56 55 50N43 45,64,52,"0.693,838",0,2.2,1.9,1.8,1.1,0.4,0,0,0.1,0.6,1.5,2.6,4.3,6.6,9.1,11.8,12.9,12.6,12.5,13,13.8,13.4,10.4,6.7,4.3,2.9,1.6,1.2,0.6,0.3,0.3,0.5,0.6,0.8,1.3,1.9,2.1,50.729221,-1.948658
745896,SP196426,001W42 55 52N04 53,228,23,"2.000,000",20,0.2,0,0,0,0.2,0.5,1,2,3,5,7,9,11,14,16,18,20,20,20,20,20,20,20,20,20,18,16,14,11,9,7,5,3,2,1,0.5,52.081402,-1.715399
745902,TQ29689006,000W07 45 51N35 40,92,100,"2.000,000",,2.2,2.9,2.3,1.7,1.4,1,1,1.5,2,2.6,2.2,1.9,1.5,0.8,0.4,0.4,1,1.6,2.2,2.8,2.4,2.1,1.7,1.2,1.2,1.8,2.4,3,2.3,1.7,1,0.4,0,0,0.7,1.6,51.594459,-0.129257
745915,TQ79058671,000E34 52 51N33 03,80,31,"0.089,125",290,0.1,0.5,1,1.9,3,4.6,6.4,8.3,10.2,12.1,13.7,14.5,14.9,14.6,13.8,12.4,10.5,8.5,6.3,4.7,3.3,2,0.9,0.4,0.1,0.1,0,0.2,0.4,0.5,0.5,0.5,0.4,0.3,0.1,0,51.550856,0.5811
745964,NS55753413,004W17 23 55N34 46,286,98,"6.999,999",330,3.3,6,10,14,18,25,25,25,25,25,25,25,25,20,17,14,8.6,6,3.5,2.4,2.2,2.6,3,3.6,5,8,14,20,6,3,1.5,0.8,0.2,0,0.5,1.6,55.579376,-4.289814
746126,SK332419,001W30 25 52N58 24,125,60,"2.999,998",10,0.3,0,0.1,0.3,0.6,1.1,1.4,1.7,2,2,1.8,1.8,1.4,1.1,0.6,0.3,0,0,0.4,0.9,2,3.4,5,6.5,7.5,8.1,8,8.2,8.2,8,7.5,6.4,4.9,3.4,2,1,52.973416,-1.507057
746153,NT23338724,003W13 59 56N04 18,181,78,"5.999,997",180,2.4,2.6,5.9,5.3,14.7,6.8,5.6,5.3,4.5,3.5,2.8,2.2,1.3,1.2,1.9,0.9,0.3,1,0.6,0,2.5,0.3,2.1,1.8,1.4,1.6,2.3,3.2,4.7,7.4,9.1,5.9,16.5,4.6,3.7,3.1,56.071791,-3.233186
746171,SY014960,003W23 57 50N45 19,27,15,"0.100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.755187,-3.399176
746189,SO94777301,002W04 42 52N21 18,147,40,"0.533,301",,1.8,2.7,1.5,0.5,0.7,1.4,1.1,0.2,0,1.6,3.2,2.1,0.8,0.7,1.2,0.9,0.3,0.5,1.8,2.8,1.7,0.6,0.6,1.1,0.7,0,0.2,1.8,3,2.1,0.9,0.8,1.2,0.8,0.1,0.4,52.355115,-2.078214
746227,TF 6267 2032,000E24 33 52N45 22,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.755989,0.409029
746303,SU87709110,000W44 05 51N36 43,142,50,"0.600,000",15,0.5,0.8,0.9,0.6,0.4,0.1,0,0,0.2,0.6,1,1.6,2.5,3.4,4.2,5.5,6.2,6.5,6.8,7,7,6.8,6.5,6.2,5.5,4.2,3.4,2.5,1.6,0.9,0.6,0.2,0,0,0.1,0.3,51.6119,-0.734849
746345,NZ26986050,001W34 49 54N56 18,160,25,"0.100,000",,3.7,5,6.8,8.8,10.8,12.1,12.3,11.5,10.7,10.1,9.9,10.1,10.7,11.5,12.3,12.2,10.8,8.8,6.8,5,3.7,2.5,1.7,1,0.6,0.4,0.1,0,0,0,0.1,0.4,0.6,1.1,1.8,2.5,54.938423,-1.580416
746352,TG23720985,001E18 19 52N38 25,38,19,"0.300,000",60,5,4.2,1.8,0.6,0.2,0.1,0,0.1,0.5,1.9,2.3,1.9,4.4,6.5,4.1,14.1,6.7,3.9,5.1,3.9,1.8,0.6,0.2,0,0,0.1,0.5,1.8,2.4,2,4.4,8,3.8,14.6,7.5,3.9,52.640225,1.305146
746477,SK80942333,000W48 03 52N48 05,138,235,"9.549,926",285,3.7,8.7,3.6,4,8.4,6.9,3.8,4.2,7.8,7.4,5.1,7.7,12.5,7,4.5,4.4,6.7,11.7,6,2.4,6.3,4.5,0.5,0,0.6,1.8,3.6,2.3,0.1,0.4,2.4,3,1.3,0.8,0.6,0.7,52.801451,-0.80088
746505,ST56434883,002W37 32 51N14 13,303,220,"1.500,999",,0,1.8,3.5,6,9,8,9,10,11,10,8,8,10,11,14,20,20,20,20,15,10,7,4,1.8,0.5,0.5,1.2,2.5,4.5,5,3,4.5,5,3,1.5,0,51.236969,-2.625476
746567,NZ56951827,001W07 15 54N33 23,237,37,"4.000,000",290,5.5,5.7,5.9,5.9,6,5.9,5.6,4.9,3.8,2.3,1.3,0.4,0,0,0.5,1.3,2.4,3.4,4.3,5,5.3,5.4,5.3,5,4.3,3.4,2.3,1.2,0.5,0.1,0,0.4,1.2,2.4,3.7,4.9,54.556455,-1.120934
